"AUC","Sensitivity","Specificity","Accuracy","data_scenario","algorithm","resampling","feature_selection","imputation_num","imputation_cat","encoding","fold","TARGET"
0.596236232008359,0.093278463648834,0.95831694848604,0.849871023215821,"4","ranger","smote","LASSO","DROP","DROP","LABEL","3","year1"
0.626868602140516,0.119162640901771,0.966945337620579,0.850171897526894,"7","ranger","smote","LASSO","MEDIAN","MODE","LABEL","3","year1"
0.628123632837535,0.147325933400605,0.949374903534496,0.842971887550201,"8","ranger","smote","LASSO","MEDIAN","DROP","LABEL","3","year1"
0.6189055168647,0.222919937205651,0.886743886743887,0.806944706548405,"11","ranger","smote","LASSO","DROP","MODE","HARD","3","year1"
0.590750207541399,0.172839506172839,0.890680298859615,0.800687876182287,"12","ranger","smote","LASSO","DROP","DROP","HARD","3","year1"
0.626207444687802,0.152979066022544,0.94379421221865,0.834867472551846,"15","ranger","smote","LASSO","MEDIAN","MODE","HARD","3","year1"
0.627956516816186,0.160443995963673,0.92822966507177,0.826372155287818,"16","ranger","smote","LASSO","MEDIAN","DROP","HARD","3","year1"
0.570625428386375,0.0357675111773472,0.965400843881857,0.850120125669932,"3","ranger","none","FFS","DROP","MODE","LABEL","4","year1"
0.533796042280421,0.0424328147100424,0.975091716547596,0.863064899762148,"4","ranger","none","FFS","DROP","DROP","LABEL","4","year1"
0.550255892347795,0.0507364975450082,0.962283515073765,0.838749029610735,"7","ranger","none","FFS","MEDIAN","MODE","LABEL","4","year1"
0.58720844842171,0.0410677618069815,0.984172880840055,0.862425447316103,"8","ranger","none","FFS","MEDIAN","DROP","LABEL","4","year1"
0.558447936513925,0.0387481371087928,0.962447257383966,0.847902420994271,"11","ranger","none","FFS","DROP","MODE","HARD","4","year1"
0.542315651309704,0.0226308345120226,0.980884340606295,0.865783214407068,"12","ranger","none","FFS","DROP","DROP","HARD","4","year1"
0.545320188252782,0.0540098199672668,0.954971135343169,0.832871243207275,"15","ranger","none","FFS","MEDIAN","MODE","HARD","4","year1"
0.58720844842171,0.0410677618069815,0.984172880840055,0.862425447316103,"16","ranger","none","FFS","MEDIAN","DROP","HARD","4","year1"
0.64245411156596,0.00894187779433681,0.99957805907173,0.87673258177786,"3","ranger","none","LASSO","DROP","MODE","LABEL","4","year1"
0.604990833124632,0.00282885431400283,0.998648387719637,0.879034998301053,"4","ranger","none","LASSO","DROP","DROP","LABEL","4","year1"
0.639880573072881,0.0188216039279869,0.998588838999359,0.865809027392703,"7","ranger","none","LASSO","MEDIAN","MODE","LABEL","4","year1"
0.637408099867597,0.0236139630390144,0.998478161619236,0.872630881378396,"8","ranger","none","LASSO","MEDIAN","DROP","LABEL","4","year1"
0.633997528721538,0.0119225037257824,0.998945147679325,0.876547773054888,"11","ranger","none","LASSO","DROP","MODE","HARD","4","year1"
0.607253534224412,0,0.999806912531377,0.879714576962283,"12","ranger","none","LASSO","DROP","DROP","HARD","4","year1"
0.629241015422828,0.016366612111293,0.998717126363053,0.865587224132195,"15","ranger","none","LASSO","MEDIAN","MODE","HARD","4","year1"
0.632385408226114,0.0225872689938398,0.998173793943083,0.872233267064281,"16","ranger","none","LASSO","MEDIAN","DROP","HARD","4","year1"
0.570047224685116,0.283159463487332,0.810759493670886,0.745333579744964,"3","ranger","smote","FFS","DROP","MODE","LABEL","4","year1"
0.545435912029677,0.264497878359264,0.776404711334234,0.714916751613999,"4","ranger","smote","FFS","DROP","DROP","LABEL","4","year1"
0.552250277938458,0.250409165302782,0.79422706863374,0.720527891760009,"7","ranger","smote","FFS","MEDIAN","MODE","LABEL","4","year1"
0.597634369422986,0.232032854209446,0.884644650738092,0.800397614314115,"8","ranger","smote","FFS","MEDIAN","DROP","LABEL","4","year1"
0.564485747703221,0.242921013412817,0.793459915611814,0.725189428941046,"11","ranger","smote","FFS","DROP","MODE","HARD","4","year1"
0.546438492082458,0.27015558698727,0.781618072987063,0.720183486238532,"12","ranger","smote","FFS","DROP","DROP","HARD","4","year1"
0.541582270308403,0.25531914893617,0.782424631173829,0.710990351558168,"15","ranger","smote","FFS","MEDIAN","MODE","HARD","4","year1"
0.597634369422986,0.232032854209446,0.884644650738092,0.800397614314115,"16","ranger","smote","FFS","MEDIAN","DROP","HARD","4","year1"
0.645275330604237,0.110283159463487,0.956118143459916,0.851228978007762,"3","ranger","smote","LASSO","DROP","MODE","LABEL","4","year1"
0.598710847555668,0.124469589816124,0.938984359915041,0.841148487937479,"4","ranger","smote","LASSO","DROP","DROP","LABEL","4","year1"
0.650802110967519,0.10556464811784,0.966901860166774,0.850171897526894,"7","ranger","smote","LASSO","MEDIAN","MODE","LABEL","4","year1"
0.648334399453514,0.112936344969199,0.965910820270887,0.855798542080848,"8","ranger","smote","LASSO","MEDIAN","DROP","LABEL","4","year1"
0.620496205046942,0.236959761549925,0.868987341772152,0.790611716873036,"11","ranger","smote","LASSO","DROP","MODE","HARD","4","year1"
0.604296865291858,0.106082036775106,0.939756709789535,0.839619435949711,"12","ranger","smote","LASSO","DROP","DROP","HARD","4","year1"
0.638868761607014,0.0973813420621931,0.967286722257858,0.849395586115116,"15","ranger","smote","LASSO","MEDIAN","MODE","HARD","4","year1"
0.628031841108824,0.181724845995893,0.925125551666413,0.829158383035123,"16","ranger","smote","LASSO","MEDIAN","DROP","HARD","4","year1"
0.570246072125692,0.0287878787878788,0.983949313621964,0.867099165894347,"3","ranger","none","FFS","DROP","MODE","LABEL","5","year1"
0.540493246658338,0.0364656381486676,0.983814352574103,0.868173258003766,"4","ranger","none","FFS","DROP","DROP","LABEL","5","year1"
0.562687777861188,0.0324675324675325,0.98330122029544,0.853388044804259,"7","ranger","none","FFS","MEDIAN","MODE","LABEL","5","year1"
0.595019893970597,0.0280561122244489,0.991864927091328,0.863836017569546,"8","ranger","none","FFS","MEDIAN","DROP","LABEL","5","year1"
0.57183530127036,0.0318181818181818,0.984371700105597,0.867840593141798,"11","ranger","none","FFS","DROP","MODE","HARD","5","year1"
0.526477847332687,0.0224403927068724,0.982839313572543,0.865605204588255,"12","ranger","none","FFS","DROP","DROP","HARD","5","year1"
0.545496250698562,0.0324675324675325,0.976107899807322,0.847177553510037,"15","ranger","none","FFS","MEDIAN","MODE","HARD","5","year1"
0.569901199175018,0.0340681362725451,0.98848810437452,0.8617063756156,"16","ranger","none","FFS","MEDIAN","DROP","HARD","5","year1"
0.61824133627724,0.0121212121212121,0.998944033790919,0.878220574606117,"3","ranger","none","LASSO","DROP","MODE","LABEL","5","year1"
0.59617248645065,0.00280504908835905,0.999219968798752,0.87758945386064,"4","ranger","none","LASSO","DROP","DROP","LABEL","5","year1"
0.627607672513741,0.0186688311688312,0.997559409120103,0.863812798048131,"7","ranger","none","LASSO","MEDIAN","MODE","LABEL","5","year1"
