"fold","algorithm","resampling","encoding","ID","auc","sen","spec","accu","data_scenario","imputation_cat","imputation_num","TARGET","feature_selection","gmean"
1,"svmRadial","up","HARD","9.1.2.5",0.658829466819588,0.583724569640063,0.647781128823783,0.64003029729218,"9","UNKNOWN","DROP","year1","LASSO",0.614919312303343
1,"svmRadial","up","HARD","10.1.2.5",0.65445287937111,0.563380281690141,0.645842309349418,0.635864419617497,"10","MISSING","DROP","year1","LASSO",0.603203798204791
1,"svmRadial","up","HARD","11.1.2.5",0.65445287937111,0.563380281690141,0.645842309349418,0.635864419617497,"11","MODE","DROP","year1","LASSO",0.603203798204791
1,"svmRadial","up","HARD","16.1.2.5",0.658212646658547,0.540755467196819,0.674132835588738,0.656086079354405,"16","DROP","MEDIAN","year1","LASSO",0.603772321708692
1,"svmRadial","up","LABEL","1.2.2.5",0.651743049613686,0.604068857589984,0.627746660922016,0.624881651202424,"1","UNKNOWN","DROP","year1","RF",0.615793965802759
1,"svmRadial","up","LABEL","2.2.2.5",0.611653549040906,0.502347417840376,0.680094786729858,0.65858738875213,"2","MISSING","DROP","year1","RF",0.584503088101718
1,"svmRadial","up","LABEL","3.2.2.5",0.653963033310207,0.582159624413146,0.635501938819474,0.629047528877107,"3","MODE","DROP","year1","RF",0.6082463070311
1,"svmRadial","up","LABEL","4.2.2.5",0.601424502204815,0.464827586206897,0.676926131850675,0.650234334316959,"4","DROP","DROP","year1","RF",0.560940228463355
1,"svmRadial","up","LABEL","8.2.2.5",0.639064663195195,0.542743538767396,0.644734795458081,0.63093476798924,"8","DROP","MEDIAN","year1","RF",0.591545133065425
1,"svmRadial","up","HARD","9.2.2.5",0.652061972100688,0.575899843505477,0.633132270573029,0.626207157735277,"9","UNKNOWN","DROP","year1","RF",0.603838368722355
1,"svmRadial","up","HARD","10.2.2.5",0.650294750454953,0.604068857589984,0.625592417061611,0.622988070441204,"10","MISSING","DROP","year1","RF",0.6147364449025
1,"svmRadial","up","HARD","11.2.2.5",0.652410224668419,0.586854460093897,0.627315812149935,0.622419996212838,"11","MODE","DROP","year1","RF",0.606747956113257
1,"svmRadial","up","HARD","16.2.2.5",0.657618297061618,0.558648111332008,0.671644112614715,0.65635507733692,"16","DROP","MEDIAN","year1","RF",0.612546092142847
1,"svmRadial","rose","LABEL","1.5.5",0.618638659473717,0.49452269170579,0.666092201637225,0.645332323423594,"1","UNKNOWN","DROP","year1","FFS",0.573931797758128
1,"svmRadial","rose","LABEL","2.5.5",0.619501874091021,0.535211267605634,0.645842309349418,0.632455974247302,"2","MISSING","DROP","year1","FFS",0.587930336910975
1,"svmRadial","rose","LABEL","3.5.5",0.619501874091021,0.535211267605634,0.645842309349418,0.632455974247302,"3","MODE","DROP","year1","FFS",0.587930336910975
1,"svmRadial","rose","LABEL","4.5.5",0.619216948316946,0.524137931034483,0.657664813343924,0.640860961638604,"4","DROP","DROP","year1","FFS",0.587117598595259
1,"svmRadial","rose","LABEL","5.5.5",0.600383831500887,0.427777777777778,0.719608095913369,0.678828878784518,"5","UNKNOWN","MEDIAN","year1","FFS",0.554826416224677
1,"svmRadial","rose","LABEL","8.5.5",0.619974274743513,0.435387673956262,0.7246850209986,0.685541358439812,"8","DROP","MEDIAN","year1","FFS",0.561710713484731
1,"svmRadial","rose","HARD","9.5.5",0.623370073473538,0.533646322378717,0.635501938819474,0.623177428517326,"9","UNKNOWN","DROP","year1","FFS",0.58235150254426
1,"svmRadial","rose","HARD","10.5.5",0.623370073473538,0.533646322378717,0.635501938819474,0.623177428517326,"10","MISSING","DROP","year1","FFS",0.58235150254426
1,"svmRadial","rose","HARD","11.5.5",0.623370073473538,0.533646322378717,0.635501938819474,0.623177428517326,"11","MODE","DROP","year1","FFS",0.58235150254426
1,"svmRadial","rose","HARD","12.5.5",0.595110240749363,0.462068965517241,0.689436060365369,0.660822773823989,"12","DROP","DROP","year1","FFS",0.56441740512081
1,"svmRadial","rose","HARD","16.5.5",0.619974274743513,0.435387673956262,0.7246850209986,0.685541358439812,"16","DROP","MEDIAN","year1","FFS",0.561710713484731
1,"svmRadial","rose","LABEL","1.1.3.5",0.644869359774907,0.430359937402191,0.782852218871176,0.740200719560689,"1","UNKNOWN","DROP","year1","LASSO",0.580437965598879
1,"svmRadial","rose","LABEL","2.1.3.5",0.651723159099168,0.342723004694836,0.819689788884102,0.761976898314713,"2","MISSING","DROP","year1","LASSO",0.530025044091348
1,"svmRadial","rose","LABEL","3.1.3.5",0.657667051666117,0.323943661971831,0.863420939250323,0.798144290854005,"3","MODE","DROP","year1","LASSO",0.528866467914073
1,"svmRadial","rose","LABEL","4.1.3.5",0.597942537865301,0.211034482758621,0.879666401906275,0.795521610831453,"4","DROP","DROP","year1","LASSO",0.430859541064635
1,"svmRadial","rose","HARD","9.1.3.5",0.652263911392141,0.364632237871674,0.81042654028436,0.756485514107177,"9","UNKNOWN","DROP","year1","LASSO",0.543606146961644
1,"svmRadial","rose","HARD","10.1.3.5",0.649302921748019,0.430359937402191,0.781990521327014,0.739443287256201,"10","MISSING","DROP","year1","LASSO",0.580118429122365
1,"svmRadial","rose","HARD","11.1.3.5",0.649302921748019,0.430359937402191,0.781990521327014,0.739443287256201,"11","MODE","DROP","year1","LASSO",0.580118429122365
1,"svmRadial","rose","HARD","12.1.3.5",0.615622415162553,0.158620689655172,0.91143764892772,0.816698489845513,"12","DROP","DROP","year1","LASSO",0.380227390452876
1,"svmRadial","rose","HARD","16.1.3.5",0.647179297832541,0.153081510934394,0.946025820500855,0.838735709482179,"16","DROP","MEDIAN","year1","LASSO",0.380550997877053
1,"svmRadial","rose","LABEL","1.2.3.5",0.640610429776707,0.400625978090767,0.778112882378285,0.732437038439689,"1","UNKNOWN","DROP","year1","RF",0.558329861791241
1,"svmRadial","rose","LABEL","2.2.3.5",0.62929845818171,0.306729264475743,0.837570012925463,0.77333838288203,"2","MISSING","DROP","year1","RF",0.506860172050997
1,"svmRadial","rose","LABEL","3.2.3.5",0.642559025944648,0.306729264475743,0.855019388194744,0.788676387047908,"3","MODE","DROP","year1","RF",0.5121127493565
1,"svmRadial","rose","LABEL","4.2.3.5",0.58341239626414,0.0868965517241379,0.954924543288324,0.845686512758202,"4","DROP","DROP","year1","RF",0.28806188565741
1,"svmRadial","rose","LABEL","8.2.3.5",0.630612498596847,0.211729622266402,0.902473168455436,0.809011432414257,"8","DROP","MEDIAN","year1","RF",0.437127330491508
1,"svmRadial","rose","HARD","12.2.3.5",0.613477582098545,0.0758620689655172,0.971008737092931,0.858357923971533,"12","DROP","DROP","year1","RF",0.271408790903065
1,"svmRadial","rose","HARD","16.2.3.5",0.637501635079861,0.196819085487078,0.915072328511433,0.817888365837256,"16","DROP","MEDIAN","year1","RF",0.42438626138478
1,"svmRadial","smote","LABEL","2.6.5",0.567868121168968,0.303599374021909,0.783283067643257,0.725241431547055,"2","MISSING","DROP","year1","FFS",0.487651770240254
1,"svmRadial","smote","LABEL","3.6.5",0.567868121168968,0.303599374021909,0.783283067643257,0.725241431547055,"3","MODE","DROP","year1","FFS",0.487651770240254
1,"svmRadial","smote","LABEL","4.6.5",0.586017090739777,0.238620689655172,0.855242255758539,0.777642770352369,"4","DROP","DROP","year1","FFS",0.451750480787069
1,"svmRadial","smote","LABEL","8.6.5",0.607170246525204,0.268389662027833,0.874163944625914,0.792199058507061,"8","DROP","MEDIAN","year1","FFS",0.484372341959227
1,"svmRadial","smote","HARD","9.6.5",0.567062723894711,0.291079812206573,0.787591555364067,0.727513728460519,"9","UNKNOWN","DROP","year1","FFS",0.478802675463343
1,"svmRadial","smote","HARD","10.6.5",0.567062723894711,0.291079812206573,0.787591555364067,0.727513728460519,"10","MISSING","DROP","year1","FFS",0.478802675463343
1,"svmRadial","smote","HARD","11.6.5",0.567062723894711,0.291079812206573,0.787591555364067,0.727513728460519,"11","MODE","DROP","year1","FFS",0.478802675463343
1,"svmRadial","smote","HARD","12.6.5",0.564034948371724,0.227586206896552,0.862787926926132,0.782850199618122,"12","DROP","DROP","year1","FFS",0.44312372047235
1,"svmRadial","smote","HARD","16.6.5",0.607170246525204,0.268389662027833,0.874163944625914,0.792199058507061,"16","DROP","MEDIAN","year1","FFS",0.484372341959227
1,"svmRadial","smote","LABEL","1.1.4.5",0.641525056317126,0.370892018779343,0.820982335200345,0.76652149214164,"1","UNKNOWN","DROP","year1","LASSO",0.551811376907576
1,"svmRadial","smote","LABEL","2.1.4.5",0.637409405448922,0.384976525821596,0.793838862559242,0.744366597235372,"2","MISSING","DROP","year1","LASSO",0.552819434689325
1,"svmRadial","smote","LABEL","3.1.4.5",0.636487362106478,0.42566510172144,0.755277897457992,0.715394811588714,"3","MODE","DROP","year1","LASSO",0.567005681672954
1,"svmRadial","smote","LABEL","4.1.4.5",0.584656678809126,0.331034482758621,0.770055599682288,0.71480645721229,"4","DROP","DROP","year1","LASSO",0.504891034913679
1,"svmRadial","smote","LABEL","8.1.4.5",0.619476174528502,0.379721669980119,0.786903095349199,0.731809011432414,"8","DROP","MEDIAN","year1","LASSO",0.546629817590042
1,"svmRadial","smote","HARD","9.1.4.5",0.651546841487434,0.380281690140845,0.805256355019388,0.753834501041469,"9","UNKNOWN","DROP","year1","LASSO",0.553375322618771
1,"svmRadial","smote","HARD","10.1.4.5",0.64517614567678,0.369327073552426,0.81473502800517,0.760840749857981,"10","MISSING","DROP","year1","LASSO",0.548546901927085
1,"svmRadial","smote","HARD","11.1.4.5",0.64517614567678,0.369327073552426,0.81473502800517,0.760840749857981,"11","MODE","DROP","year1","LASSO",0.548546901927085
1,"svmRadial","smote","HARD","12.1.4.5",0.587049382377914,0.23448275862069,0.858816521048451,0.780246484985246,"12","DROP","DROP","year1","LASSO",0.448751230643955
1,"svmRadial","smote","HARD","16.1.4.5",0.623005009297149,0.336978131212724,0.813967957691709,0.749428379287155,"16","DROP","MEDIAN","year1","LASSO",0.523726456511402
1,"svmRadial","smote","LABEL","1.2.4.5",0.630024967652628,0.380281690140845,0.768418785006463,0.721454270024617,"1","UNKNOWN","DROP","year1","RF",0.540569694209944
1,"svmRadial","smote","LABEL","2.2.4.5",0.60894709055713,0.442879499217527,0.700990952175786,0.669759515243325,"2","MISSING","DROP","year1","RF",0.557184459452729
1,"svmRadial","smote","LABEL","3.2.4.5",0.623801596500349,0.413145539906103,0.752477380439466,0.711418291990153,"3","MODE","DROP","year1","RF",0.557568537140317
1,"svmRadial","smote","LABEL","4.2.4.5",0.569765002328066,0.332413793103448,0.779785544082605,0.723485505988544,"4","DROP","DROP","year1","RF",0.509128147440048
1,"svmRadial","smote","LABEL","8.2.4.5",0.626282590659187,0.360834990059642,0.801213252449837,0.741627437794217,"8","DROP","MEDIAN","year1","RF",0.537685573531028
1,"svmRadial","smote","HARD","9.2.4.5",0.63665390302464,0.386541471048513,0.783067643257217,0.735088051505397,"9","UNKNOWN","DROP","year1","RF",0.55017099047036
1,"svmRadial","smote","HARD","10.2.4.5",0.636525794626055,0.424100156494523,0.76281775096941,0.72183298617686,"10","MISSING","DROP","year1","RF",0.568780386056804
1,"svmRadial","smote","HARD","11.2.4.5",0.645184236733533,0.39906103286385,0.769065058164584,0.724294641166446,"11","MODE","DROP","year1","RF",0.553989076111304
1,"svmRadial","smote","HARD","12.2.4.5",0.580784695023417,0.32551724137931,0.782565528196982,0.725047734768269,"12","DROP","DROP","year1","RF",0.504716328185669
1,"svmRadial","smote","HARD","13.2.4.5",0.614362142949226,0.373809523809524,0.784323836534743,0.726960186314739,"13","UNKNOWN","MEDIAN","year1","RF",0.541468115263966
1,"svmRadial","smote","HARD","14.2.4.5",0.58696210898093,0.342857142857143,0.769756349104035,0.710103138516136,"14","MISSING","MEDIAN","year1","RF",0.513728004443942
1,"svmRadial","smote","HARD","15.2.4.5",0.605984763378085,0.351587301587302,0.777104550728374,0.717644449373406,"15","MODE","MEDIAN","year1","RF",0.522704593476852
1,"svmRadial","smote","HARD","16.2.4.5",0.628915417125494,0.387673956262425,0.786125369419816,0.732212508406187,"16","DROP","MEDIAN","year1","RF",0.552051023077796
2,"svmRadial","none","LABEL","1.11.1",0.515050558893842,0,0.999792703150912,0.886580882352941,"1","UNKNOWN","DROP","year1","FFS",0
2,"svmRadial","none","LABEL","4.11.1",0.501706577792407,0,0.999807987711213,0.881347325660122,"4","DROP","DROP","year1","FFS",0
2,"svmRadial","none","HARD","9.11.1",0.499156510467145,0,0.999792703150912,0.886580882352941,"9","UNKNOWN","DROP","year1","FFS",0
2,"svmRadial","none","HARD","10.11.1",0.499156510467145,0,0.999792703150912,0.886580882352941,"10","MISSING","DROP","year1","FFS",0
2,"svmRadial","none","HARD","11.11.1",0.499156510467145,0,0.999792703150912,0.886580882352941,"11","MODE","DROP","year1","FFS",0
2,"svmRadial","none","HARD","12.11.1",0.495924950625411,0,0.999807987711213,0.881347325660122,"12","DROP","DROP","year1","FFS",0
2,"svmRadial","none","LABEL","1.1.9.1",0.571791004393617,0.00324675324675325,0.999170812603648,0.886397058823529,"1","UNKNOWN","DROP","year1","LASSO",0.0569566596622553
2,"svmRadial","none","LABEL","2.1.9.1",0.564364998600072,0.00162337662337662,0.999585406301824,0.886580882352941,"2","MISSING","DROP","year1","LASSO",0.040282795107326
2,"svmRadial","none","LABEL","3.1.9.1",0.564117992289634,0.00649350649350649,0.999585406301824,0.887132352941176,"3","MODE","DROP","year1","LASSO",0.080565590214652
2,"svmRadial","none","LABEL","4.1.9.1",0.54667242703533,0,1,0.881516587677725,"4","DROP","DROP","year1","LASSO",0
2,"svmRadial","none","LABEL","5.1.9.1",0.591652380296509,0.0115606936416185,0.998462720983859,0.865919929022957,"5","UNKNOWN","MEDIAN","year1","LASSO",0.107437989695783
2,"svmRadial","none","LABEL","6.1.9.1",0.595964526218266,0.0115606936416185,0.998718934153215,0.866141732283465,"6","MISSING","MEDIAN","year1","LASSO",0.107451773516444
2,"svmRadial","none","LABEL","7.1.9.1",0.604000225958436,0.0132122213047069,0.998590827568537,0.866252633913719,"7","MODE","MEDIAN","year1","LASSO",0.114863410217031
2,"svmRadial","none","LABEL","8.1.9.1",0.575468048538578,0.0072840790842872,0.999239428049894,0.872727272727273,"8","DROP","MEDIAN","year1","LASSO",0.0853143541149632
2,"svmRadial","none","HARD","9.1.9.1",0.551877382567681,0.00162337662337662,0.999378109452736,0.886397058823529,"9","UNKNOWN","DROP","year1","LASSO",0.0402786179107463
2,"svmRadial","none","HARD","10.1.9.1",0.568125282677521,0.00162337662337662,0.999585406301824,0.886580882352941,"10","MISSING","DROP","year1","LASSO",0.040282795107326
2,"svmRadial","none","HARD","11.1.9.1",0.536053162219206,0.00324675324675325,0.999378109452736,0.886580882352941,"11","MODE","DROP","year1","LASSO",0.0569625677230213
2,"svmRadial","none","HARD","12.1.9.1",0.565169793723941,0,1,0.881516587677725,"12","DROP","DROP","year1","LASSO",0
